User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
CloudTrail,ASIASL3Y4DMYFST2GGHU,2021-11-10T06:34:12Z,cloudtrail.amazonaws.com,StartLogging,us-east-1,73.94.207.182,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""CloudTrail""}]",187ba9b0-5975-4069-8eeb-c422d6d1ca25,3df6ac57-c0cc-4423-8c69-651f9f47125b,false,AwsApiCall,162925386544,Management
CloudTrail,ASIASL3Y4DMYFST2GGHU,2021-11-10T06:34:12Z,cloudtrail.amazonaws.com,PutEventSelectors,us-east-1,73.94.207.182,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:162925386544:trail/CloudTrail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""CloudTrail""}]",51513d18-32b2-4fac-8afc-ca7f3dc6c4fe,a284f8e9-40b3-4f4f-a143-720cba6a4f1b,false,AwsApiCall,162925386544,Management
CloudTrail,ASIASL3Y4DMYFST2GGHU,2021-11-10T06:34:12Z,cloudtrail.amazonaws.com,PutInsightSelectors,us-east-1,73.94.207.182,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:162925386544:trail/CloudTrail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""CloudTrail""}]",cb177127-0399-4ae9-ab28-212ed09fc7fe,ba07c336-5cda-4822-a8a0-49440f70b0ee,false,AwsApiCall,162925386544,Management
CloudTrail,ASIASL3Y4DMYFST2GGHU,2021-11-10T06:34:12Z,cloudtrail.amazonaws.com,CreateTrail,us-east-1,73.94.207.182,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:162925386544:trail/CloudTrail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-162925386544-3ccf6184""},{""resourceType"":""AWS::KMS::Key"",""resourceName"":""arn:aws:kms:us-east-1:162925386544:key/c87f0076-f158-4133-9228-47d95feb0306""}]",74d77b11-7c49-42bc-b526-a14702965d2c,c06b864c-e24d-4301-a679-3c14afb955b9,false,AwsApiCall,162925386544,Management
CloudTrail,ASIASL3Y4DMYFST2GGHU,2021-11-10T06:34:12Z,kms.amazonaws.com,CreateKey,us-east-1,73.94.207.182,"AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.1030 Linux/5.4.134-73.228.amzn2int.x86_64 OpenJDK_64-Bit_Server_VM/25.302-b08 java/1.8.0_302 vendor/Oracle_Corporation cfg/retry-mode/standard",,"[{""resourceType"":""AWS::KMS::Key"",""resourceName"":""c87f0076-f158-4133-9228-47d95feb0306""}]",4212b851-726f-4f57-9b74-62cf577ed047,dc065b5d-3fcb-412a-bf40-f355ed0e257f,false,AwsApiCall,162925386544,Management
CloudTrail,ASIASL3Y4DMYFST2GGHU,2021-11-10T06:34:12Z,kms.amazonaws.com,CreateAlias,us-east-1,73.94.207.182,"AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.1030 Linux/5.4.134-73.228.amzn2int.x86_64 OpenJDK_64-Bit_Server_VM/25.302-b08 java/1.8.0_302 vendor/Oracle_Corporation cfg/retry-mode/standard",,[],81d4d533-aa82-4b43-8429-f8a8d238e5c0,fa092e20-1d9b-4206-bfbc-3a71f677dd13,false,AwsApiCall,162925386544,Management
CloudTrail,ASIASL3Y4DMYFST2GGHU,2021-11-10T06:34:11Z,s3.amazonaws.com,CreateBucket,us-east-1,73.94.207.182,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.1030 Linux/5.4.134-73.228.amzn2int.x86_64 OpenJDK_64-Bit_Server_VM/25.302-b08 java/1.8.0_302 vendor/Oracle_Corporation cfg/retry-mode/standard]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-162925386544-3ccf6184""}]",K25QG5FCJ1QJ1J6E,476448ef-04b7-4c21-afbf-27093c3d6654,false,AwsApiCall,162925386544,Management
CloudTrail,ASIASL3Y4DMYFST2GGHU,2021-11-10T06:34:11Z,s3.amazonaws.com,PutBucketPublicAccessBlock,us-east-1,73.94.207.182,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.1030 Linux/5.4.134-73.228.amzn2int.x86_64 OpenJDK_64-Bit_Server_VM/25.302-b08 java/1.8.0_302 vendor/Oracle_Corporation cfg/retry-mode/standard]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-162925386544-3ccf6184""}]",K25YZ4JRY2Q1WY8H,60fb6eeb-be08-4446-9a8e-1e96096f67af,false,AwsApiCall,162925386544,Management
CloudTrail,ASIASL3Y4DMYFST2GGHU,2021-11-10T06:34:11Z,s3.amazonaws.com,PutBucketPolicy,us-east-1,73.94.207.182,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.1030 Linux/5.4.134-73.228.amzn2int.x86_64 OpenJDK_64-Bit_Server_VM/25.302-b08 java/1.8.0_302 vendor/Oracle_Corporation cfg/retry-mode/standard]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-162925386544-3ccf6184""}]",K25WSZ8YRWWA3VQG,7fce8e0e-00f5-4ae1-8d86-a3d3b575645a,false,AwsApiCall,162925386544,Management
CloudTrail,ASIASL3Y4DMYFST2GGHU,2021-11-10T06:33:33Z,cloudtrail.amazonaws.com,DeleteTrail,us-east-1,73.94.207.182,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:162925386544:trail/Udacity_Trail""}]",d97894f2-f878-4a9f-a948-9deaff7ff33c,c18fc05e-dd5b-4d24-b4d6-bc628ac4096e,false,AwsApiCall,162925386544,Management
